Адрес|Высота потолка|Год постройки|Идентификатор|Материал|Мебель|Общая площадь|Описание|Площадь кухни|Ремонт|Цена|Этаж
2 комнатная квартира  в районе Тюменская слобода, ул. Обдорская, 1/1, |NA|2018|481790|Монолитно-каркасный|Полностью|59.7 м²|Продается шикарная квартира формата 2+ с прекрасным видом из окна на городской пейзаж.|19 м²|Хороший ремонт|7 150 000 ₽|15 из 18
1 комнатная квартира  в районе Воровского, ул. Воровского, 33, г. Тюмень|2.7 м|1990|489487|Панель|Полностью|34 м²|Продаётся однокомнатная квартира в спальном районе города рядом с ЖК на Республики.|10 м²|Хороший ремонт|3 300 000 ₽|5 из 10
3 комнатная квартира  в районе Дом Обороны, ул. Полевая, 25, г. Тюмень|NA|1996|408661|Кирпич|Полностью|60 м²|Продам уютную квартиру. Дом кирпичного исполнения находится во дворе. При продаже остается все. Большие комнаты правильной. Классический косметический ремонт, спокойные тона. Стены выравнены под маяк, сделана стяжка пола, заменена электропроводка, поменяны трубы, счётчики на воду. Рядом сквер им. Д. М. Карбышева, остановки, СОШ 26 и 22, дет. сад №1, Административные здания, магазины, аптеки. Рядом набережная. |9 м²|Хороший ремонт|4 400 000 ₽|4 из 5
Студия в районе Мыс, ул. Беляева, 35/1, |NA|2016|479413|Монолитно-кирпичный|Частично|28 м²|"Продается студия в отличной микрорайоне города. В квартире сделан хороший ремонт, полностью меблирована, при продаже вся мебель остается новым хозяевам. Окна выходят во двор. Высокий этаж избавит вас от шума и откроет прекрасный вид. Хорошо развитый район со своей собственной инфраструктурой, прекрасная территория двора не оставит равнодушными ни вас, ни ваших детей. Множество магазинов, пекарня, а так же большой, современный ТРЦ ""ТюменьСитиМолл"" в котором есть все для отличного времяпровождения всей семьей. Спешите звонить и посмотреть эту прекрасную квартиру."|5 м²|Обычное состояние|3 200 000 ₽|5 из 19
3 комнатная квартира  в 6 микрорайоне, ул. Мельникайте, 135, г. Тюмень|NA|1989|440628|Панель|NA|65.3 м²|"Продается уютная, светлая квартира. Район с хорошо развитой инфраструктурой. В квартире выполнен современный качественный ремонт. Во дворе 2 детских сада, 2 школы (66 и 70), аптеки и магазины. В шаговой доступности ТЦ ""Южный"", ""Кристалл"", ""Фаворит"", ""Порт"", ""Тюменский"" , ""Лента"", ""Метро""."|10 м²|Хороший ремонт|5 150 000 ₽|3 из 9
3 комнатная квартира  в районе Дом Обороны, ул. Белинского, 1А, г. Тюмень|NA|1995|374643|Кирпич|NA|79.1 м²|"Продается отличная квартира в развитом, экологически чистом районе города. Прекрасная инфраструктура и транспортная развязка. Экологически чистый район. В шаговой доступности находится прекрасный ""Затюменский экопарк"", 15 минут пешком до набережной. Дом очень теплый, квартира светлая, шикарная шумоизоляция. Квартира с современной планировкой. Просторный коридор, большая детская. Квартира с просторной гардеробной комнатой. Сделан капитальный ремонт, заменено все (электрика, сантехника, стяжка, выровнены стены, окна, двери). Гардеробная, коридор, детская и кухня - выровнены и окрашены. При продаже остается мебель и бытовая техника по договоренности. Проходит по программам и ипотеке. Услуги ипотечного брокера предоставляются бесплатно, при условии покупки через АН ""СОВА"". Просмотр в удобное для Вас время по предварительному согласованию. Звоните! "|11 м²|Дизайн-проект|7 500 000 ₽|8 из 9
3 комнатная квартира  в районе Дома печати, ул. Комсомольская, 56, г. Тюмень|NA|2007|474145|Кирпич|Частично|126 м²|"Квартира в центре города с индивидуальной планировкой, ремонт с использованием натуральных материалов. Дубовый штучный паркет, мраморные подоконники,межкомнатные двери и окна из качественной древесины. Красивый просторный холл. Высота потолков- 2,7 м. Ванная-9,2 кв.м. Второй санузел- 3 кв.м. Гардеробная полностью оборудована, имеется подъемный механизм для одежды. Имеется встроенный шкаф купе в потолок. Остаётся Итальянский деревянный кухонный гарнитур со всей встроенной техникой (посудомоечная машина, плита, духовой шкаф), холодильник и стиральная машина. Две лоджии обшиты деревом. Квартира оборудована охранной сигнализацией. Имеется домофон, видео-наблюдение и запись на площадке и в подъезде. Замечательные соседи. В доме проживают только культурные люди. Придомовая территория огорожена шлагбаумом. Рядом Александровский сад, зеленая территория прямо за домом. В шаговой доступности набережная. Рядом школы №21, 40, 25, 15. Детские сады-№61 (3 корпуса) и 18, ТЦ ""Гудвин"", ""Пассаж"", салоны красоты, банки, аптеки и многое другое"|15 м²|Хороший ремонт|8 800 000 ₽|5 из 6
3 комнатная квартира  в районе Дома печати, ул. Советская, 51/2, ЖК «Ладья» / «Серебряковский квартал», г. Тюмень|NA|2009|181022|NA|NA|130 м²|В продаже представлена шикарная квартира с дизайн-проектом в историческом центре г. Тюмени, в кирпичном доме!|60 м²|Дизайн-проект|30 000 000 ₽|13 из 16
3 комнатная квартира  в районе Драмтеатра, ул. Республики, 86, г. Тюмень|NA|1965|456762|Кирпич|Полностью|57 м²|Предлагаю 3 комнатную квартиру в самом центре Тюмени на улице Республика (район Гудвина). В квартире выполнен дизайнерский ремонт. Заменена вся проводка , залита новая стяжка ,выровнены все стены нанесена краска + декоративная штукатурка. По всем комнатам сделан теплый пол. Установлен кондиционер. Поэтому покупая данную квартиру, вам не придётся тратиться ни на какие доделки - всё сделано на совесть, придраться не к чему. Добро пожаловать на просмотр. Все необходимое для комфортной жизни под рукой: детский сад и школа, сеть магазинов и аптек, Сбербанк. Отличная транспортная развязка, можно добраться в любую часть города. |6 м²|Дизайн-проект|5 850 000 ₽|2 из 5
Студия на КПД в районе 50 лет Октября, ул. 50 лет Октября, 57В, |2.65 м|2018|474092|Монолитно-каркасный|Частично|34 м²|"Продается шикарная студия в самом лучшем ЖК ""Новин""! Квартира со свежим ремонтом в светлых тонах. Имеется вместительная гардеробная. Окна выходят во двор. Квартира подойдет как для сдачи в аренду, так и для проживания активных молодых людей-студентов, рядом Тюменский гос.медицинский университет, ТИУ и т.д."|5 м²|Хороший ремонт|4 680 000 ₽|9 из 17
4 комнатная квартира  в районе пос. Утешево, ул. Школьная, 14, г. Тюмень|NA|1989|99197|Панель|NA|100 м²|Предлагается Вашему вниманию хорошая большая квартира. две лоджий застекленные утепленные дерево. 2 гаража металлических возле дома . пластиковые окна везде. ламинат везде. новые двери . 2 арки дверные установлены. очень большой холл . земельный участок под окнами огорожен и плодоносит. есть подсобка большая в квартире. домашний телефон интернет спутниковая тарелка. находиться в центре удобная транспортная развязка рядом продуктов магазин и строительный садик школа почта аптека остановка парихмахерская пекарня и многое другое. Заинтересовала, Звоните сейчас!|10 м²|Хороший ремонт|4 150 000 ₽|2 из 3
3 комнатная квартира  в Восточном 2 мкрн., ул. Широтная, 173/4, г. Тюмень|NA|2009|469066|Панель|Частично|90.3 м²|"Отличная квартира для большой семьи заряжена благоприятной энергетикой и гармонией нынешних хозяев. Качественный дорогой ремонт, который необходимо будет местами обновить, на полу ламинат, кафель с подогревом, потолки гипсокартон комбинированный с натяжным, вся встроенная мебель и техника остается, остальное по согласованию. 2 кондиционера, 2 балкона, приятный бонус кладовая на площадке. Установлены датчики протечки воды. Последний этаж, приятный бонус высокие потолки. Никто не проживает - заезжай и живи. В шаговой доступности магазин ""Магнит"", школа №63, детский сад №3, №146. Помощь в оформлении ипотеки. Звоните!"|19 м²|Обычное состояние|7 000 000 ₽|12 из 12
3 комнатная квартира  в районе Дом Обороны (Док), ул. Краснооктябрьская, 14, |NA|2020|445215|Монолитно-каркасный|NA|75 м²|"Предлагается к продаже квартира формата 3+ в жилом комплексе ""Скандия"" у реки с улучшенной черновой отделкой. Функциональная планировка, видовая квартира, панорамные окна, живописный вид на реку - все это несомненные плюсы этой квартиры. Близость к историческому центру города, набережной и учебным корпусам университетов добавляет привлекательности к данной квартире. Звоните!"|26 м²|Улучшенная черновая|5 500 000 ₽|12 из 18
2 комнатная квартира  в районе Южный 2/ Чаплина, ул. Николая Чаплина, 132/1, г. Тюмень|2.7 м|2006|461517|Кирпич|Частично|90.7 м²|Предлагаю Вашему вниманию отличную квартиру в кирпичном доме, с прекрасно развитой инфраструктурой, в 7 минут от центра города, необходимо пресечь только мост. В 100 метрах расположена гимназия №83, также через дорогу детский сад, ТРЦ Кристалл, лента, метро. В квартире сделан отличный качественный ремонт, мебель частично остаётся.|19 м²|Хороший ремонт|7 105 000 ₽|3 из 9
4 комнатная квартира  в районе пос. Утешево, ул. Ивана Быкова, 7, г. Тюмень|NA|1992|458496|Кирпич|Частично|78 м²|"Просторная квартира в экологически чистом районе, в районе имеется вся необходимая для комфортного проживания инфраструктура. Удобная транспортная развязка позволит добраться в любую точку города без проблем. Возможна продажа по ипотеке на льготных условиях от банков-партнеров Агентства Недвижимости ""СОВА""."|10 м²|Хороший ремонт|4 070 000 ₽|2 из 3
Студия в районе Плеханово, ул. Интернациональная, 203/2, |2.75 м|2017|482054|Панель|Частично|17 м²|Предлагаю отличную квартиру в новом районе города с удобной транспортной развязкой. В квартире сделан хороший ремонт в светлых тонах. Отличный вариант для жизни или под сдачу, практически вся мебель и техника остаётся при продаже. Во дворе хорошая парковка и современная детская площадка. Квартира без обременений, чистая продажа.|5 м²|Хороший ремонт|2 200 000 ₽|5 из 10
3 комнатная квартира  в районе ул.Елизарова, ул. Мельникайте, 30, |NA|2019|471388|Монолитно-каркасный|Без мебели|107 м²|"Продаётся отличная видовая квартира для большой семьи в районе с собственной набережной. В квартире выполнена улучшенная черновая отделка: ровные стены, стяжка пола. Установлены качественные окна. Лоджия с панорамным остеклением! При строительстве жилого комплекса использовалась монолитно-кирпичная технология, стены возведены из керамического кирпича, а внутренние перегородки из керамзитоблока. Во дворе находятся детские и спортивные площадки. В самом микрорайоне открыты сетевые магазины (""Пятерочка"", ""Магнит"", ""Метрополис"", ""Красное и Белое""), автобусная остановка на территории комплекса. Закрытый охраняемый двор и видеонаблюдение позволит Вам ощутить полную безопасность."|34 м²|Улучшенная черновая|7 750 000 ₽|6 из 17
1 комнатная квартира  в Тюменском-2 мкрн., ул. Василия Гольцова, 1, Микрорайон МДС, г. Тюмень|NA|2009|486814|Монолитно-каркасный|Частично|43.1 м²|"Продается просторная, уютная, однокомнатная квартира в новом доме 2011 года постройки в отлично развитом районе ""Тюменский"". В квартире сделан ремонт. Остается вся мебель. Лифты, подъезд, двор находятся под видеонаблюдением. Во дворе имеются детские, спортивные площадки. Отличная инфраструктура района. В шаговой доступности школа, детский сад, ТРЦ, магазины, поликлиника. Удобная транспортная развязка позволит быстро попасть в любой район города. Работаем по ипотеке (помощь в одобрении-бесплатно), по сертификату ""молодая семья"", по материнскому капиталу и любым бюджетным программам. Просмотр в любое время!"|12 м²|Обычное состояние|4 000 000 ₽|4 из 14
3 комнатная квартира  в районе Дома печати, ул. Коммунаров, 24, г. Тюмень|NA|1989|242993|Кирпич|NA|57.9 м²|"Продаётся уютная квартира в самом центре города. В трёх минутах ходьбы средняя школа. В шаговой доступности детский сад, ТРЦ ""Магеллан"", бизнес-центры и многое другое. Хорошая планировка (квартира-распашонка). Хорошая управляющая компания, в подъезде и в прилегающей территории дома всегда чисто и аккуратно. Квартира идеально подойдёт как для личного проживания, так и для сдачи в аренду. Звоните!"|8 м²|Хороший ремонт|5 600 000 ₽|2 из 5
1 комнатная квартира  в Восточном 2 мкрн., ул. Широтная, 189, г. Тюмень|NA|2011|249096|Монолитно-кирпичный|NA|49.5 м²|"Квартира, уютная, очень теплая (зимой температура 25-27 градусов). Лоджия застеклена, утеплена с тёплым полом. Большая комната разделена пополам декоративной перегородкой на детскую и спальню. В шаговой доступности новейшая ШКОЛА 63, ДЕТСКИЙ САД ""НИКОЛАША"", ""ШУСТРЕНОК"" поликлиника 12, остановка общественного транспорта маршрут 25,51,64,8,2. До центра города можно доехать за 15 минут в связи с добавлением нового маршрута 35. Во дворе детская площадка, площадка для выгула животных, паркинг. Рядом расположен торговый центр ""Окей"", лесной массив с озером и база отдыха ""Пруд лесной"", строится спортивно- оздоровительный центр, а также расположен сквер ""Серебряные ключи"" с детской зоной, тренажёрами и велосипедными дорожками."|12 м²|Хороший ремонт|3 990 000 ₽|16 из 20
Студия в Европейском мкрн., ул. Эрвье, 32/1, Микрорайон «Европейский», г. Тюмень|NA|2018|350070|Монолитно-каркасный|Полностью|31 м²|Просторная, современная светлая квартира с функциональной планировкой в самом комфортабельном районе города! В квартире сделан качественный ремонт: на полу ламинат, по все квартире натяжные потолки, сан узел выложен керамогранитом, установлена инсталляция, имеется большой теплый балкон с витражным остеклением, установлены счетчики на воду и тепло (автоматические показания счетчиков в управляющую компанию). При продаже остаётся абсолютно все: кухонный гарнитур с встроенной техникой: варочная поверхность, духовой шкаф, вытяжка, в коридоре шкаф-купе. Во дворе дома хорошая детская площадка, закрытый двор, подземная парковка, колясочная и место для хранения велосипедов, а так же круглосуточное видеонаблюдение и патрулирующая охрана 24 часа в сутки. Низкие коммунальные платежи за счет своей газовой котельной.|12 м²|Хороший ремонт|4 200 000 ₽|7 из 17
Студия в районе Тарманы, ул. Верхнетарманская, 3, Жилой квартал «Новый мыс 2.0», г. Тюмень|NA|2016|413762|Монолитно-кирпичный|NA|24.6 м²|Квартира-студия в развитом районе города. Выполнен частично ремонт. Требуется ремонт в санузле.|5 м²|Хороший ремонт|2 500 000 ₽|11 из 16
4 комнатная квартира  в районе Дома печати, ул. Елецкая, 3, г. Тюмень|NA|1998|435711|Кирпич|NA|148 м²|Квартира  в районе Центр (Дом печати),  ул. Елецкая, 3|15 м²|Хороший ремонт|14 000 000 ₽|5 из 10
1 комнатная квартира  в Антипино, ул. Беловежская, 19/3, ЖК «Новоантипинский», г. Тюмень|NA|2019|484878|Панель|Полностью|36 м²|Предлагаем абсолютно новую квартиру со свежим и стильным ремонтом из качественных материалов, вы будете первыми жильцами! Квартира выполнена в современном формате 1+, а значит большая кухня - гостиная, площадью 20 м и уютная спальня. Квартира полностью меблирована, вся мебель сделана под заказ. Преимуществом квартиры является наличие своего кладового помещения, площадью 3 метра и тамбура на несколько квартир, где также можно разместить детский инвентарь. Дом расположен в уже большом и развитом жилом комплексе, с множеством детских и спортивных площадок, парковочных площадок, магазинов различных товаров. Плюсом этого предложения является наличие газовой котельная, чтоб позволит вам значительно экономить на коммунальных платежах. Также данное расположение радует удобной транспортной развязкой. До улицы республика 10 минут езды. Звоните, покажем с удовольствием|20 м²|Дизайн-проект|3 300 000 ₽|8 из 16
Студия в районе Ожогина / Патрушева, ул. Александра Митинского, 3, |NA|2018|444945|Панель|NA|29 м²|Продается уютная студия с отличным ремонтом. Окна выходят на д. Патрушево, солнечная сторона. Во дворе дома большая парковка, детский сад в шаговой доступности, в планах строительство школы. В квартире ремонт: натяжной потолок, на полу ламинат, санузел совмещен в кафеле. При продаже остается 2 шкафа-купе встроенных, кухонный гарнитур, водонагреватель, духовой шкаф, варочная панель, холодильник.|9 м²|Хороший ремонт|3 360 000 ₽|12 из 14
1 комнатная квартира  в районе Лесобаза (Тура), ул. Казачьи луга, 8, г. Тюмень|NA|2015|485315|Панель|Частично|35.2 м²|Предлагаем к покупке квартиру в активно развивающемся районе Лесобаза. В квартире выполнен новый современный ремонт. Санузел в кафеле, установоена душевая кабина. Вид из окон через двор с детскими площадками в направлении озера. При продаже остаётся на кухне кухонный гарнитур и обеденная зона. Заберем холодильник и микроволновую печь. В комнате заберем только диван. Балкон застеклен. Приятный бонус кладовка у квартиры, примернр, 2 кв.м. |9 м²|Хороший ремонт|3 290 000 ₽|5 из 16
3 комнатная квартира  в районе Московского тр., ул. Московский тракт, 143/4, г. Тюмень|3 м|2000|445545|Панель|NA|92.9 м²|"Продается большая двухкомнатная квартира в районе ТРЦ ""Колумб"" с гардеробной и двумя лоджиями. Дом построен из ""школьной панели"", такой строительный материал является экологически чистым и теплым, по своим тепло и звукоизоляционным свойствам он не уступает кирпичу! Высота потолков 3 метра. В кухне натяжной потолок и выход на первый балон. Зал визуально разделен ""лесенкой"" на зону сна и отдыха, два больших окна позволяют осветить каждый уголок комнаты. Вторая комната имет выход на вторую лоджию, площадь которой позволяет сделать рабочий кабинет или зону релаксации."|13.7 м²|Хороший ремонт|6 099 000 ₽|9 из 9
2 комнатная квартира  в районе Нефтегазового университета, ул. Харьковская, 64, Жилой комплекс «Центральный», г. Тюмень|2.8 м|2015|461097|Кирпич|Полностью|63 м²|Продается квартира к центре города. Район с развитой инфраструктурой: детские сады, школы, университеты, поликлиники, магазины, ТЦ, аптеки, развлекательные и развивающие центры, остановки общественного транспорта. Квартира с косметическим ремонтом: на стенах обои, на полу линолеум, натяжные потолки, санузел в кафеле. При продаже остается вся мебель. Заинтересовала квартира? Звоните!|15 м²|Хороший ремонт|5 250 000 ₽|1 из 16
3 комнатная квартира  в районе Червишевского тр., ул. Червишевский тракт, 21/1, Жилой комплекс «Гагарин», г. Тюмень|NA|2016|348184|Кирпич|NA|110.9 м²|Продается просторная квартира. Квартира находится в жилом комплексе с огороженной территорией в развитом спальном районе. Вблизи есть все объекты соцкультбыта: школа, детский сад, торговый центр, продуктовые сети, аптеки. В квартире сделан качественный ремонт.|33.3 м²|Хороший ремонт|7 900 000 ₽|12 из 16
3 комнатная квартира  в Восточном мкрн., ул. Майский проезд, 5, г. Тюмень|NA|1996|439665|Панель|NA|86 м²|Предлагается просторная трехкомнатная квартира на последнем, девятом этаже дома, над квартирой еще есть тех. этаж. Выполнен свежий ремонт по дизайн проекту (до продажи будут установлены межкомнатные двери, плинтуса и вся сантехника) - Ваша квартиру будет уникальна! При ремонте использованы высококачественные материалы, работы тщательно контролировались. Новому собственнику будет передан дизайн-проект для заказа мебели и техники. Квартира расположена в районе с хорошо развитой социально-бытовой и транспортной инфраструктурой - в пешей доступности школа, детский сад, магазины, на общественном транспорте легко уехать в нужный район города, а для автомобилистов - парковочные места рядом с домом и возможность приобрести гараж в пяти минутах от дома. По соседству с квартирой на одной площадке предлагаются также двух- и четырехкомнатная квартиры - прекрасное решение квартирного вопроса для большой семьи!|13.7 м²|Дизайн-проект|5 500 000 ₽|9 из 9
Студия в районе Плеханово, ул. Новоселов, 107/2, |NA|2019|452015|Панель|Полностью|20.1 м²|Выставили на продажу замечательную студию в современном жилом комплексе. Хороший ремонт. Пол ламинат. Санузел в кафеле. Укомплектована мебелью. Новый кухонный гарнитур со встроенной техникой. Диван и шкаф остается покупателю. Квартира подойдет как для сдачи в аренду так и для личного проживания.|1 м²|Хороший ремонт|2 550 000 ₽|14 из 16
4 комнатная квартира  в деловом центре, ул. Ленина, 81, г. Тюмень|NA|1985|63235|Кирпич|NA|76 м²|Квартира  в районе Центр (Деловая часть),  ул. Ленина, 81|12 м²|Хороший ремонт|7 000 000 ₽|8 из 9
Студия в районе Суходолье, ул. Михаила Сперанского, 41, |NA|2021|463537|Монолитно-каркасный|Без мебели|30.3 м²|Продам квартиру-студию в развитом микрорайоне в новом доме. В квартире выполнена отделка под чистовую. Стены выровнены и оштукатурены, на полу ー стяжка толщиной 55-60 мм. Установлены розетки, выключатели, приборы учёта. Сделаны выводы под сантехнику. Межквартирные стены трёхслойные и обеспечивают хорошую шумоизоляцию. Также отличная входная сейф-дверь с шумоизоляцией. Из окон открывается хороший вид. В жилом комплексе огороженная территория с комплексным видеонаблюдением, современные детские и спортивные площадки, продуманная система паркинга для автомобилей. На первом этаже расположена колясочная. Инфраструктура района развита, в шаговой доступности всё необходимое для комфортного проживания, удобная транспортная развязка позволит беспрепятственно добраться до любой точки города. Звоните в любое время, отвечу на интересующие Вас вопросы и организую показ!|4 м²|Улучшенная черновая|3 300 000 ₽|17 из 18
4 комнатная квартира  в районе Драмтеатра, ул. Карская, 25, г. Тюмень|NA|1970|333224|Кирпич|NA|62 м²|"Вашему вниманию уютная квартира в центре города. Дом расположен внутри дворовой части, что позволяет насладиться спокойной тихой обстановкой вокруг. Чистый ухоженный подъезд. В квартире выполнен ремонт. Установлены пластиковые окна. Балкон застеклён. Так как в центральной части города очень хорошо развита инфраструктура, можно говорить о том, что до всего необходимого ""рукой подать"": садик, школа, красивый Текутьевский бульвар, магазины, остановки общественного транспорта и т.д., всё в вашем распоряжении."|9 м²|Обычное состояние|4 500 000 ₽|2 из 5
4 комнатная квартира  в районе Дома печати, ул. Немцова, 4, г. Тюмень|NA|2004|448195|Кирпич|NA|181.3 м²|Квартира практический в центре города. Один из лучших районов города - исторический центр. Закрытый двор. Полностью кирпичный дом, индивидуальной планировки с подземным паркингом. Отличный ремонт, три раздельных санузла. Квартира продается с мебелью. Торг уместен.|21.1 м²|Хороший ремонт|15 000 000 ₽|2 из 10
Студия в районе Ожогина / Патрушева, ул. Федюнинского, 64, |NA|2017|465492|Монолитно-каркасный|Частично|30.1 м²|"Студия в ЖК ""Три Богатыря"". В квартире выполнена качественная отделка. На балконе витражное остекление. При продаже остается кухня. В шаговой доступности школа, детский сад, ТРЦ ""Остров"". До центра 15 минут."|3 м²|Хороший ремонт|3 700 000 ₽|21 из 22
3 комнатная квартира  в районе Технопарка, ул. Малыгина, 90, Жилой комплекс «Паруса», г. Тюмень|NA|2016|446828|Монолитно-кирпичный|NA|123 м²|"Предлагается к продаже отличная квартира в ЖК ""Паруса"". В квартире выполнен евро-ремонт в светлых, пастельных тонах: на полу-ламинат, стены -декоративная штукатурка и обои, многоуровневое освещение, высота потолков 3 метра, в санузле кафель, теплый пол. Установлена сигнализация. При продаже остается: кухонный гарнитур с техникой (варочная панель, вытяжка, посудомоечная машина), мебель в спальне, оборудованная гардеробная. Окна выходят на солнечную, юго-восточную сторону."|25 м²|Дизайн-проект|12 500 000 ₽|5 из 25
2 комнатная квартира  в Заречном мкрн., ул. Газовиков, 28А, г. Тюмень|NA|1994|408664|Кирпич|NA|41.4 м²|"Продается квартира-светлая, уютная в первом Заречном микрорайоне. Теплый дом. Во всех комнатах натяжные потолки, пластиковые окна. Оставляем кухонный гарнитур, вытяжка, холодильник, сервант, телевизор, мягкая мебель, всё, что на фото. Квартира полностью укомплектована мебелью. В коридоре установлен шкаф купе. Балкон застеклен. Все коммуникации поменяны, установлена новая душевая. Рядом с домом 3 детских сада, школа, спортивная школа, спорт комплекс ""Здоровье"", городская поликлиника №1. Очень удобная транспортная развязка, откуда можно быстро и без пересадок добраться в любую точку города. Недалеко ТЦ ""Па-На-Ма"", ТЦ ""Зеленый берег"". А так же, в Заречной части города, построен крупнейший в России Аквапарк. Квартира отлично подойдет для молодых семей и семей с детьми, тем кто хочет жить в районе с уже полностью развитой инфраструктурой. Звоните, организуем показ, при необходимости помощь в оформлении и одобрении ипотеки на выгодных условиях кредитования для Вас, полное юридическое сопровождение и гарантии успешной сделки. Предлагайте свою цену, договоримся!"|7 м²|Хороший ремонт|3 300 000 ₽|3 из 9
2 комнатная квартира  в районе Червишевского тр., ул. Самарцева, 3, г. Тюмень|2.6 м|2009|341658|Кирпич|Частично|74 м²|"Предлагаем Вашему вниманию просторная квартиру с ремонтом. В коридоре большой, очень вместительный шкаф-купе и гардеробная. Ремонт выполнен качественно - потолки натяжные, на полу ламинат, в коридоре плитка. Огромная лоджия - 10 м2, с шикарным видом на весь город. Из мебели остаются два шкафа-купе. Рядом множество магазинов, детских развивающих центров, также рядом с домом детский сад, школа. В 5 минутах ходьбы находится прекрасный сквер ""Комсомольский"". Во дворе подземный паркинг. Услуга ипотечного брокера для Вас бесплатна."|11 м²|Хороший ремонт|5 400 000 ₽|9 из 14
1 комнатная квартира  в районе Югра, ул. Велижанская, 70, |2.7 м|2018|442055|Монолитно-каркасный|NA|49.1 м²|Огромная квартира формата 1+. Большая кухня-гостиная, изолированная спальня, просторный санузел 5,2 м2. Очень большой коридор со встроенным шкафом-купе. Натяжной потолок. Грамотно проведена электрика, всё продумано, вплоть до зеркал с подсветкой. Вместительная гардеробная (идеальное место для хранения обуви и верхней одежды).|18.1 м²|Хороший ремонт|4 650 000 ₽|12 из 16
Студия в районе Мыс, ул. Беляева, 35/1, |NA|2016|354360|Монолитно-кирпичный|NA|29 м²|Предлагаю для Вас замечательную квартиру-студию в очень современном жилом комплексе! Квартира теплая, светлая, полностью готова под Вашу фантазию! Дом надежный, умный, теплый. В данном районе шикарная инфраструктура со всеми удобствами для комфортного проживания. Транспортная развязка в любую точку города без пробок и пересадок. Отличный вариант для отдельного семейного проживания, или под сдачу.|5 м²|Хороший ремонт|3 160 000 ₽|6 из 19
